VariableName,NameZh,Category,Access,DataType,Dimension,DefaultValue,Unit,Index,Remarks,IsVisible,GodeGen,NonVolatile,AppParam,Min,Max,HighLevelParam,Cia402_ObjectDictionary_all
state_now,运行状态,DirectionIdOutput,RO,int8,1,,,151,"-1：搜索错误
0：空闲状态
1：搜索阶段
2：稳定收敛阶段
3：搜索成功",Visible,1,,,,,,
enc_counts_now_p,编码器当前单圈位置脉冲数,MotorPosSensorInput,RO,uint32,1,0,P,152,,Visible,1,,,,,,
enc_line_p_n,编码器分辨率,MotorPosSensorConfig,RW,uint32,1,0,P,153,,Visible,1,,,,,,
enc_sum_p,编码器累计脉冲值,MotorPosSensorOutput,RO,int64,1,0,P,154,,Visible,1,,,,,,
init_pos_p,编码器初始位置,MotorPosSensorConfig,RW,int64,1,0,P,155,,Visible,1,,,,,,
pn,电机极对数,MotorPosSensorConfig,RW,uint32,1,1,对,156,,Visible,1,,,,,,
elec_angle_now_rad,电角度当前值,MotorPosSensorOutput,RO,single,1,0,rad,157,,Visible,1,,,,,,
elec_angle_bias_rad,电角度偏移值,MotorPosSensorConfig,RW,single,1,0,rad,158,,Visible,1,1,,,,,
dir,计数方向,MotorPosSensorConfig,RW,int8,1,1,,159,,Visible,1,,,,,,
enc_counts_sum_p,编码器位置累计值,PolePairsIdInput,RO,int64,1,0,P,161,,Visible,1,,,,,,
elec_angle_add,电角度步进的增量,PolePairsIdConfig,RW,single,1,0.0005,rad,162,,Visible,1,,,,,,
pn_id,极对数辨识结果,PolePairsIdOutput,RO,uint32,1,1,对,163,,Visible,1,,,,,,
enc_line_p_n,编码器分辨率,PolePairsIdConfig,RW,uint32,1,4000,脉冲/圈,164,,Visible,1,,,,,,
state_now,运行状态,PolePairsIdOutput,RO,int8,1,0,,165,,Visible,1,,,,,,
elec_angle_tar_rad,电角度目标值,PolePairsIdOutput,RO,single,1,0,rad,166,,Visible,1,,,,,,
encoder_res,编码器分辨率,NonVolatileParam,RW,uint32,1,,p,167,,Visible,0,,,,,,
param_save,参数保存,SystemConfig,RW,int8,1,,,169,"0：无操作
1：flash保存",Visible,0,,,,,,
system_reset,系统复位,SystemConfig,RW,int8,1,,,170,"0：无操作
1：复位",Visible,0,,,,,,
rated_current,电机额定电流,NonVolatileParam,RW,single,1,," A",171,,Visible,0,,,,,,
current_loop_freq,电流环频率,SystemConfig,RW,uint32,1,,,172,"0：无操作
20000：20Khz 
其它：无操作",Visible,0,,,,,,
position_loop_freq,位置环频率,SystemConfig,RW,uint32,1,,,173,"0：无操作
10000：10Khz 
其它：无操作",Visible,0,,,,,,
id_tar_A,d轴电流目标值,PolePairsIdOutput,RO,single,1,0,A,175,,Visible,1,,,,,,
id_tar_max_A,d轴目标电流最大值,PolePairsIdConfig,RW,single,1,1,A,176,,Visible,1,,,,,,
mode_now,当前运行模式,MotorCtlSmOutput,RO,int8,1,0,,177,"-6：转矩脉动与摩擦辨识模式
-5：机械特性辨识模式
-4：电角度辨识模式
-3：方向辨识模式
-2：极对数辨识模式
-1：电气特性辨识模式
0：空闲模式
1：力矩模式
2：速度模式
3：位置模式
4:  往复运动模式
5：参考信号模式
6:  MIT模式
127：电压控制模式",Visible,1,,,,,,
mode,电流环控制模式,CurrentCtlInput,RO,uint8,1,0,,178,"0:  电压控制模式
1：电流控制模式",Visible,1,,,,,,
uabc_tar_V,三相目标电压,CurrentCtlInput,RW,single,3,0,V,179,仅电压控制模式有效,Visible,1,,,,,,
pos_ctl_error_p,当前位置控制误差,PosSpeedCtlOutput,RO,int32,1,0,P,180,,Visible,1,,,,,,
error_enable,保护生效,MotorCtlSmConfig,RW,uint32,1,0,,181,"保护生效位
bit1: 欠压保护生效
bit2: 过压保护生效
bit3:过速保护生效
bit4:欠温保护生效
bit5:过温保护生效
bit6:位置跟随误差保护生效
bit7:过流保护生效",Visible,1,,,,,,
over_current_protection_A,过流保护阈值,MotorCtlSmConfig,RW,single,1,10,A,182,过流保护，采集iabc三相电流，任意一相电流绝对值超过该电流则保护,Visible,1,,,,,,
driver_temp,驱动器当前温度,CurrentCtlInput,RO,single,1,25,℃,184,用于温度补偿,Visible,1,,,,,,
tp_s,位置环运行周期,PmsmConfig,RW,single,1,,s,186,,Visible,1,,,,,,
tc_s,电流环运行周期,PmsmConfig,RW,single,1,,s,187,,Visible,1,,,,,,
enc_line_p_n,编码器分辨率,PmsmConfig,RW,uint32,1,,p/n,188,,Visible,1,,,,,,
dob_wn_Hz,负载扰动观测器带宽,PosSpeedCtlConfig,RW,single,1,40,Hz,189,,Visible,1,1,,,,1,
dob_enable,负载扰动观测使能开关,PosSpeedCtlConfig,RW,uint8,1,0,,190,"0：失能
1：使能",Visible,1,1,,,,1,
dob_iq_com_A,负载扰动补偿电流,PosSpeedCtlOutput,RO,single,1,0,A,191,,Visible,1,,,,,,
enable,使能末端振动抑制开关,InputShapingConfig,RW,uint8,1,0,,192,0：失能  1：使能,Visible,1,1,,,,1,
iq_com_A,负载扰动观测器补偿值,TqFcIdInput,RO,single,1,0,A,194,,Visible,1,,,,,,
enc_line_p_n,编码器分辨率,TqFcIdConfig,RW,uint32,1,4000,p/n,195,,Visible,1,,,,,,
pos_cmd_p,位置指令值,TqFcIdOutput,RO,int64,1,0,p,196,,Visible,1,,,,,,
pos_abs_p,当前转子绝对位置,TqFcIdInput,RO,uint32,1,0,p,197,,Visible,1,,,,,,
pos_init_p,电机初始位置,TqFcIdInput,RO,int64,1,0,p,198,,Visible,1,,,,,,
start,启动辨识指令,TqFcIdInput,RO,uint8,1,0,,199,,Visible,1,,,,,,
iq_com_enable,使能负载扰动补偿开关,TqFcIdOutput,RO,uint8,1,0,,201,,Visible,1,,,,,,
tq_com_enable,使能转矩脉动补偿开关,TqFcIdOutput,RO,uint8,1,0,,202,,Visible,1,,,,,,
fc_com_enable,使能摩擦补偿开关,TqFcIdOutput,RO,uint8,1,0,,203,,Visible,1,,,,,,
state_now,当前辨识状态,TqFcIdOutput,RO,int8,1,0,,204,,Visible,1,,,,,,
motor_enable_last,电机使能控制上一个周期的值,MotorCtlSmOutput,RO,uint8,1,0,,205,"0：失能电机 PWM 关闭 自由释放电机
1：使能电机 PWM开启 电机受控状态
3：清除错误",Visible,1,,,,,,
index,主索引,ObjectDictionary,RW,uint16,1,,,206,402字典主索引,Visible,0,,,,,,
sub_index,子索引,ObjectDictionary,RW,uint8,1,,,207,402字典子索引,Visible,0,,,,,,
data,数据,ObjectDictionary,RW,uint32,1,,,208,402字典数据,Visible,0,,,,,,
rw,读写,ObjectDictionary,RW,uint8,1,,,209,"读：0
写：1",Visible,,,,,,,
pwm_duty_cycle_max,pwm 占空比最大值,CurrentCtlConfig,RW,single,1,0.9,100%,210,默认 0.9   90%,Visible,1,1,,,,,
pos_tar1_p,目标位置1,ReciprocalMotionConfig,RW,int64,1,0,p,211,,Visible,1,,,,,,
pos_tar2_p,目标位置2,ReciprocalMotionConfig,RW,int64,1,0,p,212,,Visible,1,,,,,,
dwell_time_s,等待时间,ReciprocalMotionConfig,RW,single,1,0,s,213,,Visible,1,,,,,,
profile_velocity_p_s,轮廓速度,ReciprocalMotionConfig,RW,single,1,0,p/s,214,,Visible,1,,,,,,
profile_acc_p_ss,轮廓加速度,ReciprocalMotionConfig,RW,single,1,0,p/s^2,215,,Visible,1,,,,,,
profile_dec_p_ss,轮廓减速度,ReciprocalMotionConfig,RW,single,1,0,p/s^2,216,,Visible,1,,,,,,
dt_s,运行周期,ReciprocalMotionConfig,RW,single,1,0.0001,s,217,,Visible,1,,,,,,
pos_tar_p,规划位置,ReciprocalMotionOutput,RO,int64,1,0,p,218,,Visible,1,,,,,,
v_tar_p_s,规划速度,ReciprocalMotionOutput,RO,single,1,0,p/s,219,,Visible,1,,,,,,
acc_tar_p_ss,规划加速度,ReciprocalMotionOutput,RO,single,1,0,p/s^2,220,,Visible,1,,,,,,
state_now,规划器状态,ReciprocalMotionOutput,RO,int8,1,0,,221,,Visible,1,,,,,,
dt_s,运行周期,ReferenceSignalConfig,RW,single,1,0,s,222,,Visible,1,,,,,,
signal_out,参考信号输出,ReferenceSignalOutput,RO,single,1,0,,223,,Visible,1,,,,,,
signal_type,信号类型,ReferenceSignalConfig,RW,uint8,1,0,,224,"0:  方波
1：正弦",Visible,1,,,,,,
amp,信号幅值,ReferenceSignalConfig,RW,single,1,0,,225,,Visible,1,,,,,,
frq_Hz,运行频率,ReferenceSignalConfig,RW,single,1,0,Hz,226,,Visible,1,,,,,,
bias,信号偏移,ReferenceSignalConfig,RW,single,1,0,,227,,Visible,1,,,,,,
signal_target,信号激励目标,ReferenceSignalConfig,RW,uint8,1,1,,228,"0: d轴电流信号
1: q轴电流信号
2: 目标速度信号
3: 目标位置信号",Visible,1,,,,,,
Controlword,控制字,AppControlWord,RW,uint16,1,,,229,"0-失能；
1-使能(0->1上升沿生效)；
2-急停；
3-清除错误(0->3上升沿生效)；",Visible,,0,1,0,3,,Controlword
Statusword,状态字,AppStatusInfo,RO,uint32,1,,,230,"bit0-目标达到;
bit1-零速到达;
bit2-回零完成;
bit3-位置到达;
bit4-速度到达;
bit5-力矩到达;
bit6-使能状态(0-失能,1使能);",Visible,,,1,,,,Statusword
Error_word,错误字,AppStatusInfo,RO,uint32,1,,,231,"bit0-驱动器峰值电流过载;
bit1-驱动器过载;
bit2-母线过压;
bit3-母线欠压;
bit4-驱动器过温;
bit5-驱动器低温;
bit6-电机过速;
bit7-位置误差过大(使能&位置模式);
bit8-负载端编码器错误;
bit9-电机端编码器错误;
bit10-flash存储错误;
bit11-drv初始化错误;
bit12-电流采样错误;
bit13-硬件短路保护;
bit14-驱动器软件检测过流保护;
bit15-母线电压检测异常;
bit16-CAN总线掉线错误;
bit17-电机过温;
bit18-电机欠温;
bit19-MCU过温;
bit20-MCU欠温;",Visible,,,1,,,,Error_code
Modes_of_operation,运行模式,AppOpMode,RW,int8,1,,,238," -5：机械特性辨识模式
 -4：电角度辨识模式
 -3：方向辨识模式
 -2：极对数辨识模式
 -1：电气特性辨识模式
 0：空闲模式
 1：力矩模式
 2：速度模式
 3：位置模式
 6：MIT模式
 7：回零模式",Visible,,,1,,,,Modes_of_operation
Load_encoder_resolution,负载端位置反馈分辨率,AppEncoderConfig,RW,uint32,1,,P,242,,Visible,,1,1,,,,Position_encoder_resolution_Motor_revolutions
Motor_encoder_resolution,电机端位置反馈分辨率,AppEncoderConfig,RW,uint32,1,,P,243,,Visible,,1,1,,,,Position_encoder_resolution_Encoder_increments
Polarity,运动极性,AppBaseConfig,RW,uint8,1,,,250,,Visible,,1,1,0,1,,Polarity
Target_position,位置目标值,AppMotionParam,RW,int64,1,,P,251,,Visible,,,1,,,,Target_position
Position_range_limit_Minimal_position_limit,位置溢出最小值,AppRestrictParam,RW,int64,1,,p,253,,Visible,,1,1,,,,Position_range_limit_Minimal_position_limit
Position_range_limit_Maximal_position_limit,位置溢出最大值,AppRestrictParam,RW,int64,1,,p,254,,Visible,0,1,1,,,,Position_range_limit_Maximal_position_limit
Software_position_limit_Minimal_position_limit,应用位置下限,AppRestrictParam,RW,int64,1,,p,256,,Visible,,1,1,,,,Software_position_limit_Minimal_position_limit
Software_position_limit_Maximal_position_limit,应用位置上限,AppRestrictParam,RW,int64,1,,p,257,,Visible,,1,1,,,,Software_position_limit_Maximal_position_limit
Max_profile_velocity,应用速度限制,AppRestrictParam,RW,single,1,,RPM,258,,Visible,0,1,1,0,,,Max_profile_velocity
Max_motor_speed,电机最大转速,AppRestrictParam,RW,single,1,,RPM,259,,Visible,,1,1,0,,,
Profile_velocity,轮廓速度,AppMotionParam,RW,single,1,,RPM,260,,Visible,,1,1,0,,,Profile_velocity
Profile_acceleration,轮廓加速度,AppMotionParam,RW,single,1,,RPM/s,262,,Visible,,1,1,0,,,Profile_acceleration
Profile_deceleration,轮廓减速度,AppMotionParam,RW,single,1,,RPM/s,263,,Visible,,1,1,0,,,Profile_deceleration
Quick_stop_deceleration,快速停止减速度,AppMotionParam,RW,single,1,,RPM/s,264,,Visible,,1,1,0,,,Quick_stop_deceleration
Motion_profile_type,运动轮廓模式,AppMotionParam,RW,int32,1,,,265,,Visible,,1,1,,,,Motion_profile_type
Max_acceleration,应用加速度限制,AppRestrictParam,RW,single,1,,RPM/s,270,,Visible,0,1,1,0,,,Max_acceleration
Max_deceleration,应用减速度限制,AppRestrictParam,RW,single,1,,RPM/s,271,,Visible,,1,1,0,,,Max_deceleration
Home_offset,回零偏移,AppMotionParam,RW,int64,1,,P,272,,Visible,,1,1,,,,Home_offset
Homing_method,回零方法,AppMotionParam,RW,int8,1,,,273,,Visible,,1,1,-2,35,,Homing_method
Position_demand_value,负载端位置指令值,AppMotionInfo,RO,int64,1,,P,284,,Visible,,,1,,,,Position_demand_value
Position_actual_value_inc,负载端内部位置当前值,AppMotionInfo,RO,int64,1,,P,285,原始内部位置当前值，未经过到位转化，和回零偏移，内部控制当前位置,Visible,,,1,,,,"Position_actual_value_inc,Position_actual_value"
Position_actual_value,负载端位置当前值,AppMotionInfo,RO,int64,1,,P,286,,Visible,,,1,,,,
Following_error_window,位置跟随误差阈值,AppWindowParam,RW,int64,1,,P,287,,Visible,,1,1,0,,,Following_error_window
Following_error_time_out,位置跟随误差阈值时间,AppWindowParam,RW,single,1,,s,288,,Visible,,1,1,0,,,Following_error_time_out
Position_window,位置到达检测窗口,AppWindowParam,RW,uint32,1,,P,289,,Visible,,1,1,0,,,Position_window
Position_window_time,位置到达检测窗口时间,AppWindowParam,RW,single,1,,s,290,,Visible,,1,1,0,,,Position_window_time
Following_error_actual_value,负载端位置误差值,AppMotionInfo,RO,int64,1,,P,291,,Visible,,,1,,,,Following_error_actual_value
Velocity_demand_value,负载端速度指令值,AppMotionInfo,RO,single,1,,RPM,314,,Visible,,,1,,,,Velocity_demand_value
Velocity_actual_value,负载端速度当前值,AppMotionInfo,RO,single,1,,RPM,315,,Visible,,,1,,,,Velocity_actual_value
Velocity_window,速度到达检测窗口,AppWindowParam,RW,single,1,,RPM,316,,Visible,,1,1,0,,,Velocity_window
Velocity_window_time,速度到达检测窗口时间,AppWindowParam,RW,single,1,,s,317,,Visible,,1,1,0,,,Velocity_window_time
Velocity_threshold,零速检测窗口,AppWindowParam,RW,single,1,,RPM,318,,Visible,,1,1,0,,,Velocity_threshold
Velocity_threshold_time,零速检测窗口时间,AppWindowParam,RW,single,1,,s,319,,Visible,,1,1,0,,,Velocity_threshold_time
Target_velocity,速度目标值,AppMotionParam,RW,single,1,,RPM,320,,Visible,,,1,,,,Target_velocity
Target_torque,力矩目标值,AppMotionParam,RW,single,1,,A,321,,Visible,,,1,,,,Target_torque
Max_current,应用电流限制,AppRestrictParam,RW,single,1,,A,323,,Visible,,1,1,0,,,Max_current
Torque_demand_value,力矩指令值,AppMotionInfo,RO,single,1,,A,324,,Visible,,,1,,,,Torque_demand_value
Motor_rated_current,电机额定电流,AppMotorConfig,RW,single,1,,Arms,325,,Visible,,1,1,0,,,Motor_rated_current
Motor_rated_torque,电机额定力矩,AppMotorConfig,RW,single,1,,Nm,326,,Visible,,1,1,0,,,Motor_rated_torque
Torque_actual_value,力矩当前值,AppMotionInfo,RO,single,1,,A,327,,Visible,,,1,,,,Torque_actual_value
Current_actual_value,电流当前值,AppMotionInfo,RO,single,1,,A,328,,Visible,0,,1,,,,Current_actual_value
DC_link_circuit_voltage,母线电压当前值,AppStatusInfo,RO,single,1,,V,329,,Visible,,,1,,,,DC_link_circuit_voltage
Torque_slope,力矩上升斜率,AppMotionParam,RW,single,1,,A/s,330,,Visible,,1,1,0,,,Torque_slope
dynamic_integration_enable,速度环动态积分使能,PosSpeedCtlConfig,RW,uint8,1,0,,340,"0：失能
1：使能",Visible,1,1,0,,,1,
Home_position_offset_value,回零完成位置偏移值,AppBaseConfig,RO,int64,1,,P,344,,Visible,,1,1,,,,
Bus_under_voltage_threshold,母线欠压阈值,AppProtectConfig,RW,single,1,,V,347,,Visible,,1,1,0,,,
Bus_over_voltage_threshold,母线过压阈值,AppProtectConfig,RW,single,1,,V,348,,Visible,,1,1,0,,,
Drive_overload_current_duration,驱动器过载持续时间,AppProtectConfig,RW,single,1,,s,349,,Visible,,1,1,0,,,
Drive_peak_current_duration,驱动器峰值电流持续时间,AppProtectConfig,RW,single,1,,s,351,,Visible,,1,1,0,,,
Drive_temperature_threshold_time,驱动器温度保护阈值时间,AppProtectConfig,RW,single,1,,s,352,,Visible,,1,1,0,,,
Drive_low_temperature_fault_threshold,驱动器低温报错阈值,AppProtectConfig,RW,single,1,,℃,353,,Visible,,1,1,,,,
Drive_high_temperature_fault_threshold,驱动器高温报错阈值,AppProtectConfig,RW,single,1,,℃,354,,Visible,,1,1,,,,
Overspeed_threshold,过速阈值,AppProtectConfig,RW,single,1,,RPM,355,,Visible,,1,1,0,,,
Drive_accumulated_heat,驱动器热量累计值,AppStatusInfo,RO,single,1,,,357,,Visible,,,1,,,,
Drive_temperature,驱动器当前温度,AppStatusInfo,RO,single,1,,℃,358,,Visible,,,1,,,,
tq_set_NM,前馈力矩电流,MitCtlInput,RW,single,1,0,NM,359,,Visible,1,,,,,,
kt,转矩常数,PmsmConfig,RW,single,1,,N*M/A,360,,Visible,1,,,,,,
kp_pos_NM_rad,位置刚度,MitCtlConfig,RW,single,1,0,NM/rad,363,,Visible,1,1,,,,1,
kd_spd_NM_rad_s,速度阻尼,MitCtlConfig,RW,single,1,0,NM/(rad/s),364,,Visible,1,1,,,,1,
pos_tar_p,目标位置,MitCtlInput,RW,int64,1,0,P,366,,Visible,1,,,,,,
pos_now_p,当前位置,MitCtlInput,RO,int64,1,0,P,367,,Visible,1,,,,,,
iq_max_A,q轴最大输出电流,MitCtlInput,RW,single,1,0,A,368,,Visible,1,,,,,,
speed_tar_p_s,目标速度,MitCtlInput,RW,single,1,0,p/s,369,,Visible,1,,,,,,
speed_now_rad_s,当前速度,MitCtlInput,RO,single,1,0,rad/s,371,,Visible,1,,,,,,
enc_line_inv_p_n,编码器分辨率倒数,MitCtlConfig,RW,single,1,0,n/p,372,,Visible,1,,,,,,
iq_tar_A,目标q轴电流,MitCtlOutput,RO,single,1,0,A,373,,Visible,1,,,,,,
Motor_peak_current,电机峰值电流,AppMotorConfig,RW,single,1,,Arms,376,,Visible,,1,1,0,,,
Motor_pole_pairs,电机极对数,AppMotorConfig,RW,single,1,,Pair,377,,Visible,,1,1,1,,,
Motor_maximum_speed,电机最大转速,AppMotorConfig,RW,single,1,,RPM,378,,Visible,,1,1,0,,,Max_motor_speed
D_current_actual_value,d轴电流当前值,AppMotionInfo,RO,single,1,,A,379,,Visible,0,,1,,,,
Alarm_word,告警字,AppStatusInfo,RO,uint32,1,,,381,"bit0-驱动器过温警告;
bit1-驱动器欠温警告;
bit2-电机过温警告;
bit3-电机欠温警告;
bit4-MCU过温警告;
bit5-MCU欠温警告;
bit6-电机NTC异常警告;",Visible,,,1,,,,
elec_angle_speed_rad_s,电角速度,CurrentCtlInput,RO,single,1,0,rad/s,382,电角速度,Visible,1,,,,,,
elec_angle_compensation,电角度补偿系数,CurrentCtlConfig,RW,single,1,0,100%,383,补偿多少个电流环周期,Visible,1,1,,,,,
Modes_of_operation_display,当前模式,AppStatusInfo,RO,int8,1,,,384,Modes_of_operation一致,Visible,,,1,,,,Modes_of_operation_display
phase_dir,UVW相序,CurrentCtlConfig,RW,int8,1,1,,385,"UVW 相序
 1 正向
-1 反向",Visible,1,1,,,,,
Resistance,电机相间电阻,AppMotorConfig,RW,single,1,,ohm,386,,Visible,,1,1,0,,,
Inductance,电机相间电感,AppMotorConfig,RW,single,1,,H,387,,Visible,,1,1,0,,,
Drive_overcurrent_threshold,驱动器过流保护阈值,AppProtectConfig,RW,single,1,,A,388,,Visible,,1,1,0,,,
Protection_enable,保护生效,AppProtectConfig,RW,uint32,1,,,389,默认全部生效,Visible,,1,1,,,,
Encoder_calibration_speed,编码器校准速度,AppMotionParam,RW,single,1,,RPM,390,,Visible,,1,1,0,,,
method,辨识方法,ElecAngleIdConfig,RW,uint8,1,0,,391,"0：强拉对齐 适用于电机空载下，平横轴，无较大负载力干扰
1：TODO",Visible,1,,,,,,
elec_bias_buff_rad,内部电角度偏移值缓存值,ElecAngleIdOutput,RO,single,2,0,rad,392,,Visible,1,,,,,,
step_num,内部辨识步骤,ElecAngleIdOutput,RO,uint8,1,0,,393,,Visible,1,,,,,,
angle_add_rad,电角度强拉增量,ElecAngleIdConfig,RW,single,1,0.0001,rad,394,,Visible,1,,,,,,
wait_time_s,强拉角度等待时间,ElecAngleIdConfig,RW,single,1,3,s,396,默认 3s,Visible,1,,,,,,
test_angle_rad,测试拖动角度,ElecAngleIdConfig,RW,single,1,0.5,rad,397,强拉对齐后测试的角度,Visible,1,,,,,,
current_slope_percentage,电流上升斜率%每s,ElecAngleIdConfig,RW,single,1,0.0001,%/s,398,额定电流 %/s,Visible,1,,,,,,
current_slope_percentage,电流上升斜率%每s,DirectionIdConfig,RW,single,1,0.0001,%/s,399,额定电流 %/s,Visible,1,,,,,,
id_tar_A,d轴电流目标值,DirectionIdOutput,RO,single,1,0,A,400,,Visible,1,,,,,,
current_slope_percentage,电流上升斜率%每s,PolePairsIdConfig,RW,single,1,0.0001,%/s,401,,Visible,1,,,,,,
id_tar_max_A,d轴目标电流最大值,DirectionIdConfig,RW,single,1,0,A,402,强制拖动D轴最大目标电流,Visible,1,,,,,,
MIT_feedforward_torque,MIT前馈力矩,AppMotionParam,RW,single,1,,NM,403,负载端转矩,Visible,,,1,,,,
MIT_target_position,MIT目标位置,AppMotionParam,RW,int64,1,,P,404,负载端目标位置,Visible,,,1,,,,
MIT_max_current,MIT最大输出电流,AppMotionParam,RW,single,1,,A,405,,Visible,,1,1,0,,,
MIT_target_velocity,MIT目标速度,AppMotionParam,RW,single,1,,RPM,406,负载端目标速度,Visible,,,1,,,,
Comm_control_authority,通信控制权限,AppPermissionConfig,RW,uint8,1,,,409,"0-上位机;
1-总线通信;",Visible,,,1,0,1,1,
Version,软件版本,AppStatusInfo,RO,uint32,1,,,410,软件版本号,Visible,,,1,,,,
U_current_actual_value,U相当前电流,AppMotionInfo,RO,single,1,,A,411,,Visible,,,1,,,,
V_current_actual_value,V相当前电流,AppMotionInfo,RO,single,1,,A,412,,Visible,,,1,,,,
W_current_actual_value,W相当前电流,AppMotionInfo,RO,single,1,,A,413,,Visible,,,1,,,,
Reduction_ratio_num,减速比分子,AppMotorConfig,RW,uint32,1,,,414,,Visible,,1,1,,,,Shaft_revolutions
Reduction_ratio_den,减速比分母,AppMotorConfig,RW,uint32,1,,,415,,Visible,,1,1,,,,Motor_revolutions
Can_id,CAN ID,AppBaseConfig,RW,uint32,1,,,416,,Visible,,1,1,,,,
Can_baudrate,CAN 波特率,AppBaseConfig,RW,uint32,1,,,417,"1000000,500000",Visible,,1,1,,,,
MIT_kp,位置刚度,AppMotionParam,RW,single,1,,NM/rad,418,,Visible,,,1,,,,
MIT_kd,速度阻尼系数,AppMotionParam,RW,single,1,,NM/(rad/s),419,,Visible,,,1,,,,
Sys_cmd,系统指令,SystemCmd,RW,uint8,1,0,,420,"0: 无动作
1: 当前位置回零
2：参数保存到FLASH
3：系统软件复位
254：清除错误记录
255：恢复出厂设置",Visible,,,1,,,1,
Motor_encoder_type,电机端编码器类型,AppEncoderConfig,RW,uint8,1,,,421,"0：ABZ编码器
1：AB编码器
2：BISS-C
3:  多摩川
255：弓望编码器",Visible,,1,1,,,,
Load_encoder_type,负载端编码器类型,AppEncoderConfig,RW,uint8,1,,,422,"0：ABZ编码器
1：AB编码器
2：BISS-C
3:  多摩川
255：弓望编码器",Visible,,1,1,,,,
Torque_constant,电机转矩常数,AppMotorConfig,RW,single,1,,mN*m/A,423,,Visible,,1,1,0,,,
Motor_position_demand_value,电机端位置指令值,AppMotionInfo,RO,int64,1,,P,424,,Visible,,,1,,,,
Motor_position_actual_value,电机端位置当前值,AppMotionInfo,RO,int64,1,,P,425,,Visible,,,1,,,,
Motor_following_error_actual_value,电机端位置误差值,AppMotionInfo,RO,int64,1,,P,426,,Visible,,,1,,,,
Motor_velocity_demand_value,电机端速度指令值,AppMotionInfo,RO,single,1,,RPM,427,,Visible,,,1,,,,
Motor_velocity_actual_value,电机端速度当前值,AppMotionInfo,RO,single,1,,RPM,428,,Visible,,,1,,,,
enc_counts_now_p,编码器当前单圈位置脉冲数,LoadPosSensorInput,RO,uint32,1,0,P,429,,Visible,1,0,,,,,
enc_line_p_n,编码器分辨率,LoadPosSensorConfig,RW,uint32,1,0,P,430,,Visible,1,0,,,,,
init_pos_p,编码器初始位置,LoadPosSensorConfig,RW,int64,1,0,P,431,,Visible,1,0,,,,,
dir,计数方向,LoadPosSensorConfig,RW,int8,1,1,,432,,Visible,1,0,,,,,
enc_sum_p,编码器累计脉冲值,LoadPosSensorOutput,RO,int64,1,0,P,433,,Visible,1,0,,,,,
Storage_status,参数存储状态,SystemStatus,RW,int8,1,,,435,"-2：存储警告（当前状态不允许操作）
-1：存储错误
0：空闲
1：存储中
2：存储成功",Visible,,,1,,,1,
Motor_temperature,电机当前温度,AppStatusInfo,RO,single,1,,℃,436,,Visible,,,1,,,,
Motor_low_temperature_fault_threshold,电机低温报错阈值,AppProtectConfig,RW,single,1,,℃,437,,Visible,,1,1,,,,
Motor_high_temperature_fault_threshold,电机高温报错阈值,AppProtectConfig,RW,single,1,,℃,438,,Visible,,1,1,,,,
Can_timeout,CAN通讯超时时间,AppProtectConfig,RW,single,1,,s,439,从第一次接收到 CAN指令 开始计算时间，超过改时间没有接收到CAN指令则认为通讯错误，每次接收到新的CAN消息则重置计算时间,Visible,,1,1,0,,,
Quick_stop_option_code,快速停机方式选择,AppBaseConfig,RW,int16,1,2,,440,"0：自由停机，保持自由运行状 
态 
1：轮廓减速度/Homing 
acceleration(HM)斜坡停机 
，保持自由运行状态 
2：Quick_stop_deceleration斜坡停机，保持自由 
运行状态 
3：急停转矩停机，保持自由运 
行状态 
5：轮廓减速度/Homing 
acceleration(HM)斜坡停机 
，保持位置锁定状态 
6：Quick_stop_deceleration斜坡停机，保持位置 
锁定状态 
7：急停转矩停机，保持位置锁 
定状态",Visible,,1,1,0,7,,Quick_stop_option_code
Motor_power,电机当前功率,AppStatusInfo,RO,single,1,,W,442,转矩 X 当前转速,Visible,,,1,,,,
Motor_low_temperature_warning_threshold,电机低温警告阈值,AppProtectConfig,RW,single,1,,℃,443,,Visible,0,1,1,,,,
Motor_high_temperature_warning_threshold,电机高温警告阈值,AppProtectConfig,RW,single,1,,℃,444,,Visible,0,1,1,,,,
hw_ready_state,硬件准备的状态,MotorCtlSmInput,RO,uint8,1,0,,448,0：为准备好  1：准备好,Visible,1,,,,,,
Brake_engage_time,抱闸延迟时间,AppBaseConfig,RW,single,1,0,,449,,Visible,,1,1,0,,,
Brake_release_time,松闸延迟时间,AppBaseConfig,RW,single,1,0,,450,,Visible,,1,1,0,,,
